"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"TRBV20-1",1.18965106454414e-43,4.86090287418227,0.027,0.005,3.29699896027764e-39,"TRBV20-1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"GON7",1.62592586527019e-43,8.73100306536956,0.016,0,4.50609094300981e-39,"GON7","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"UTP11",2.66606941185467e-43,8.88556686883756,0.016,0,7.38874476801404e-39,"UTP11","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"BABAM2",4.37149910115241e-43,8.93160706344041,0.016,0,1.21151726089338e-38,"BABAM2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"PCNX1",5.17905590178027e-42,8.76837823296137,0.015,0,1.43532355261938e-37,"PCNX1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"COQ8A",8.49063498703425e-42,8.74657165503022,0.015,0,2.35309458030667e-37,"COQ8A","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MACO1",1.39193321704777e-41,8.84607482705766,0.015,0,3.85760371772619e-37,"MACO1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AC020659.1",4.42643454349003e-40,8.96150239849662,0.014,0,1.22674206938283e-35,"AC020659.1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ZGPAT",5.5597905556126e-40,1.9688864932924,0.029,0.007,1.54084035458248e-35,"ZGPAT","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ECPAS",7.25510955816771e-40,8.79832742862081,0.014,0,2.0106810629506e-35,"ECPAS","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"SHISAL2A",5.23476628977966e-39,8.59376274642182,0.014,0,1.45076312954953e-34,"SHISAL2A","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"YJU2",8.57895541775014e-39,8.58759221989044,0.014,0,2.37757170447527e-34,"YJU2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MARF1",3.77558382572455e-38,8.65516865884349,0.014,0,1.0463653014613e-33,"MARF1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AC010642.2",1.01383371666612e-37,8.60912736510776,0.014,0,2.80973876236848e-33,"AC010642.2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AC007952.4",1.66128114845346e-37,8.70233088710793,0.013,0,4.60407457482393e-33,"AC007952.4","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
